timestamp,x,y,z
0,2.87,-1.91,10.47
10,2.92,-1.91,10.56
20,2.91,-1.9,10.72
30,2.88,-1.91,10.86
40,2.81,-1.91,10.99
50,2.76,-1.94,11.09
60,2.74,-1.95,11.16
70,2.71,-1.96,11.29
80,2.55,-1.96,11.47
90,2.31,-1.97,11.63
100,2.18,-1.96,11.59
110,2.01,-1.97,11.54
120,1.9,-2.05,11.39
130,1.8,-2.1,11.13
140,1.66,-2.15,10.81
150,1.51,-2.21,10.52
160,1.34,-2.26,10.25
170,1.15,-2.32,10.04
180,1.02,-2.37,9.84
190,0.96,-2.38,9.62
200,0.97,-2.42,9.29
210,0.93,-2.48,9.0
220,0.98,-2.5,8.62
230,1.05,-2.48,8.28
240,1.11,-2.45,8.06
250,1.15,-2.37,7.91
260,1.2,-2.32,7.72
270,1.23,-2.23,7.55
280,1.23,-2.18,7.48
290,1.28,-2.18,7.18
300,1.41,-2.19,6.78
310,1.52,-2.19,6.23
320,1.56,-2.22,5.69
330,1.61,-2.14,5.21
340,1.72,-2.07,4.64
350,1.81,-1.91,3.94
360,1.87,-1.82,3.62
370,1.99,-1.76,3.57
380,1.83,-1.49,3.96
390,1.92,-0.84,4.58
400,2.39,-0.06,5.15
410,3.13,0.7,5.34
420,3.92,1.53,5.52
430,4.77,2.44,6.06
440,5.51,3.45,6.72
450,6.43,4.41,7.59
460,7.04,5.42,8.84
470,7.55,6.42,10.23
480,8.04,7.07,11.37
490,8.43,7.69,12.4
500,8.75,8.14,13.55
510,8.86,8.39,14.65
520,8.74,8.47,15.71
530,8.5,8.49,16.75
540,8.09,8.39,17.67
550,7.56,8.16,18.54
560,6.94,7.92,19.24
570,6.29,7.55,19.6
580,5.56,7.15,19.83
590,4.9,6.87,19.72
600,4.41,6.58,19.46
610,3.95,6.3,19.16
620,3.16,6.06,18.98
630,2.42,5.8,19.01
640,1.8,5.48,19.02
650,1.24,5.15,18.82
660,0.86,4.82,18.21
670,0.72,4.56,17.38
680,0.51,4.36,16.52
690,0.28,4.09,15.78
700,-0.21,3.87,15.15
710,-0.54,3.6,14.71
720,-0.84,3.3,14.19
730,-1.09,2.89,13.39
740,-1.56,2.54,12.6
750,-1.9,2.14,11.95
760,-2.15,1.81,11.2
770,-2.61,1.45,10.46
780,-2.67,1.09,9.73
790,-2.7,0.85,9.06
800,-2.55,0.63,8.43
810,-2.34,0.45,7.81
820,-2.14,0.14,7.32
830,-2.09,-0.14,6.9
840,-2.11,-0.32,6.61
850,-2.14,-0.47,6.41
860,-2.09,-0.67,6.17
870,-1.98,-0.79,5.83
880,-1.77,-0.93,5.44
890,-1.53,-1.16,5.08
900,-1.2,-1.33,4.64
910,-0.9,-1.5,4.27
920,-0.57,-1.64,4.0
930,-0.36,-1.72,3.95
940,-0.17,-1.8,4.03
950,0.08,-1.9,4.08
960,0.35,-2.04,4.04
970,0.63,-2.15,4.02
980,0.94,-2.2,4.11
990,1.25,-2.26,4.27
1000,1.7,-2.31,4.48
