timestamp,x,y,z
0,-3.69,-5.55,9.1
10,-3.84,-5.44,8.88
20,-3.94,-5.31,8.57
30,-4.02,-5.2,8.24
40,-4.08,-5.1,7.83
50,-4.17,-5.01,7.42
60,-4.27,-4.97,7.04
70,-4.39,-4.81,6.63
80,-4.38,-4.8,6.11
90,-4.37,-4.71,5.67
100,-4.4,-4.59,5.25
110,-4.46,-4.46,4.83
120,-4.51,-4.22,4.48
130,-4.54,-4.0,4.06
140,-4.53,-3.89,3.55
150,-4.46,-3.77,3.07
160,-4.43,-3.56,2.67
170,-4.4,-3.29,2.3
180,-4.33,-3.05,1.96
190,-4.37,-2.7,1.67
200,-4.43,-2.26,1.38
210,-4.49,-1.9,1.19
220,-4.52,-1.69,0.94
230,-4.47,-1.59,0.77
240,-4.33,-1.61,0.61
250,-4.09,-1.64,0.43
260,-3.81,-1.56,0.19
270,-3.51,-1.37,-0.09
280,-3.33,-1.11,-0.34
290,-3.33,-0.77,-0.57
300,-3.44,-0.35,-0.49
310,-3.76,0.19,-0.06
320,-4.15,0.65,0.72
330,-4.5,1.03,1.69
340,-4.66,1.24,2.62
350,-4.63,1.41,3.17
360,-4.52,1.65,3.56
370,-4.5,1.99,3.9
380,-4.59,2.56,4.53
390,-4.62,3.3,5.37
400,-4.92,4.14,6.66
410,-5.31,5.15,8.66
420,-5.76,6.01,11.01
430,-6.5,6.64,13.19
440,-7.33,6.77,15.14
450,-7.68,6.8,16.79
460,-7.28,7.28,17.78
470,-6.4,7.71,17.94
480,-5.62,7.98,17.75
490,-5.26,8.16,17.88
500,-5.04,8.25,18.57
510,-5.06,8.25,19.22
520,-5.31,8.11,19.71
530,-5.29,7.93,19.96
540,-5.32,7.6,19.98
550,-5.23,7.25,19.78
560,-5.25,7.15,19.42
570,-5.36,7.16,19.2
580,-5.68,7.26,19.37
590,-6.17,7.45,19.77
600,-6.62,7.64,20.09
610,-6.91,7.89,20.16
620,-7.13,8.07,20.08
630,-7.13,8.21,19.77
640,-7.11,8.25,19.39
650,-6.94,8.24,18.97
660,-6.58,8.21,18.47
670,-6.31,8.09,18.05
680,-6.0,7.97,17.61
690,-5.58,7.78,17.06
700,-5.23,7.38,16.43
710,-4.9,6.78,15.85
720,-4.56,6.15,14.97
730,-4.2,5.43,13.9
740,-3.74,4.72,12.79
750,-3.26,4.17,11.6
760,-3.0,3.44,10.45
770,-2.68,2.63,9.3
780,-2.4,1.92,8.05
790,-2.01,1.13,6.89
800,-1.68,0.46,5.97
810,-1.41,-0.11,5.1
820,-1.05,-0.62,4.27
830,-0.68,-1.1,3.55
840,-0.32,-1.56,2.92
850,-0.01,-1.92,2.26
860,0.22,-2.3,1.77
870,0.38,-2.69,1.19
880,0.6,-3.08,0.66
890,0.79,-3.45,0.43
900,0.93,-3.77,0.59
910,1.01,-3.98,0.79
920,1.16,-4.17,0.83
930,1.39,-4.36,0.74
940,1.52,-4.58,0.57
950,1.61,-4.81,0.35
960,1.56,-4.93,0.23
970,1.49,-5.04,0.37
980,1.31,-5.26,0.68
990,1.12,-5.49,1.07
1000,0.85,-5.75,1.52
