timestamp,x,y,z
0,-4.33,-2.12,9.77
10,-4.34,-2.08,9.69
20,-4.43,-2.08,9.66
30,-4.51,-2.12,9.59
40,-4.56,-2.15,9.48
50,-4.61,-2.18,9.37
60,-4.66,-2.22,9.31
70,-4.71,-2.21,9.27
80,-4.69,-2.22,9.22
90,-4.72,-2.19,9.11
100,-4.78,-2.12,8.91
110,-4.82,-2.04,8.74
120,-4.93,-1.97,8.64
130,-5.07,-1.91,8.52
140,-5.27,-1.85,8.37
150,-5.5,-1.97,8.35
160,-5.76,-1.96,8.18
170,-6.04,-1.94,8.04
180,-6.48,-2.02,7.87
190,-6.78,-2.11,7.41
200,-6.85,-2.15,7.02
210,-7.31,-2.13,6.81
220,-7.76,-2.12,6.95
230,-8.42,-2.27,7.34
240,-9.04,-2.49,7.52
250,-9.03,-2.75,7.37
260,-8.8,-2.91,7.21
270,-8.51,-2.99,6.95
280,-8.42,-2.95,6.95
290,-8.28,-2.9,7.0
300,-7.78,-2.66,7.23
310,-7.27,-2.32,7.5
320,-6.62,-2.16,7.9
330,-6.23,-1.93,8.37
340,-5.83,-1.76,8.96
350,-5.32,-1.54,9.42
360,-4.26,-1.35,9.73
370,-3.31,-1.41,9.66
380,-2.67,-1.5,9.52
390,-1.94,-1.42,9.51
400,-1.03,-1.57,9.77
410,-0.12,-1.55,9.85
420,0.65,-1.19,9.88
430,1.7,-0.74,10.13
440,2.6,-0.34,10.47
450,3.41,-0.04,10.71
460,4.05,0.24,10.84
470,4.42,0.41,11.07
480,4.76,0.6,11.21
490,5.34,0.73,11.19
500,5.72,0.86,11.09
510,5.74,1.11,10.93
520,5.85,1.22,10.82
530,6.2,1.21,10.79
540,6.45,1.11,10.67
550,6.64,1.08,10.45
560,6.72,1.13,10.29
570,6.69,1.21,10.3
580,6.68,1.26,10.11
590,6.55,1.24,9.84
600,6.26,1.33,9.41
610,5.97,1.48,8.94
620,5.78,1.64,8.56
630,5.59,1.66,8.24
640,5.39,1.72,7.87
650,4.99,1.75,7.6
660,4.55,1.58,7.62
670,4.17,1.36,7.84
680,3.72,1.15,8.06
690,3.15,1.04,8.2
700,2.62,1.08,8.29
710,2.05,1.12,8.52
720,1.53,1.17,8.77
730,1.0,1.15,8.95
740,0.28,1.21,9.21
750,-0.4,1.43,9.15
760,-1.24,1.74,8.93
770,-2.51,1.91,9.53
780,-3.78,1.89,10.38
790,-4.76,1.84,10.89
800,-5.47,1.91,10.91
810,-5.71,2.05,10.78
820,-6.2,2.21,10.91
830,-6.43,2.42,11.14
840,-6.23,2.59,11.2
850,-6.22,2.75,11.03
860,-6.51,2.91,10.88
870,-7.07,3.09,10.91
880,-7.67,3.32,11.27
890,-8.09,3.52,11.92
900,-8.07,3.61,12.52
910,-8.05,3.55,12.76
920,-8.01,3.27,12.69
930,-8.07,3.32,12.19
940,-7.98,3.57,11.49
950,-7.93,3.79,11.01
960,-7.94,3.91,10.81
970,-8.08,3.91,10.87
980,-8.34,3.78,11.25
990,-8.6,3.73,11.54
1000,-8.69,3.67,11.69
