timestamp,x,y,z
0,0.07,-0.4,10.98
10,0.09,-0.43,10.98
20,0.13,-0.49,10.97
30,0.19,-0.53,11.05
40,0.26,-0.56,11.23
50,0.29,-0.52,11.44
60,0.38,-0.46,11.68
70,0.46,-0.43,11.88
80,0.57,-0.44,12.11
90,0.63,-0.45,12.3
100,0.74,-0.41,12.56
110,0.77,-0.34,12.83
120,0.73,-0.29,13.13
130,0.65,-0.23,13.37
140,0.52,-0.16,13.56
150,0.31,-0.17,13.64
160,0.06,-0.13,13.75
170,-0.27,-0.16,13.88
180,-0.61,-0.18,13.95
190,-0.99,-0.28,14.13
200,-1.48,-0.3,14.33
210,-1.97,-0.26,14.43
220,-2.49,-0.25,14.41
230,-2.85,-0.18,14.22
240,-3.19,-0.22,13.95
250,-3.45,-0.3,13.58
260,-3.6,-0.44,13.12
270,-3.74,-0.66,12.62
280,-3.87,-0.82,12.12
290,-3.95,-0.99,11.6
300,-3.94,-1.1,11.01
310,-3.85,-1.2,10.39
320,-3.7,-1.29,9.82
330,-3.56,-1.27,9.36
340,-3.39,-1.31,8.8
350,-3.15,-1.37,8.27
360,-2.81,-1.39,7.64
370,-2.48,-1.45,6.97
380,-2.09,-1.5,6.3
390,-1.74,-1.57,5.65
400,-1.36,-1.66,4.92
410,-0.93,-1.73,4.09
420,-0.53,-1.89,3.36
430,-0.15,-2.18,3.04
440,0.22,-2.39,2.8
450,0.5,-2.55,2.76
460,0.68,-2.61,2.83
470,0.85,-2.57,2.76
480,1.07,-2.49,2.58
490,1.37,-2.38,2.26
500,1.75,-2.29,1.98
510,2.33,-2.14,1.79
520,2.82,-1.97,1.79
530,3.22,-1.66,2.22
540,3.5,-1.24,3.2
550,3.76,-0.79,4.63
560,4.02,-0.44,6.05
570,4.36,-0.03,7.2
580,4.82,0.42,8.01
590,5.32,0.76,8.37
600,5.62,1.11,8.63
610,5.69,1.53,9.26
620,5.65,2.03,10.32
630,5.65,2.54,11.7
640,5.66,2.95,13.27
650,5.67,3.24,14.79
660,5.61,3.46,16.18
670,5.39,3.64,17.4
680,5.0,3.83,18.44
690,4.49,4.05,19.37
700,4.0,4.27,20.23
710,3.72,4.27,20.86
720,3.4,4.1,21.27
730,3.01,3.75,21.42
740,2.59,3.35,21.13
750,2.17,2.94,20.57
760,1.66,2.57,19.99
770,1.1,2.25,19.46
780,0.43,2.06,19.01
790,-0.41,1.91,18.62
800,-1.29,1.72,18.35
810,-2.21,1.62,18.01
820,-2.89,1.47,17.63
830,-3.48,1.38,17.21
840,-3.91,1.29,16.72
850,-4.33,1.13,16.15
860,-4.91,0.96,15.54
870,-5.17,0.78,14.88
880,-5.39,0.62,14.1
890,-5.51,0.5,13.36
900,-5.51,0.39,12.63
910,-5.57,0.33,11.91
920,-5.52,0.2,11.12
930,-5.44,0.12,10.33
940,-5.21,0.03,9.49
950,-5.08,-0.08,8.69
960,-5.01,-0.25,8.04
970,-4.84,-0.36,7.43
980,-4.66,-0.43,6.9
990,-4.52,-0.55,6.39
1000,-4.39,-0.68,6.0
