timestamp,x,y,z
0,-2.12,-5.71,8.86
10,-2.14,-5.63,8.92
20,-2.16,-5.55,9.02
30,-2.15,-5.53,9.1
40,-2.11,-5.45,9.09
50,-2.06,-5.38,9.07
60,-2.03,-5.33,9.08
70,-2.03,-5.33,9.08
80,-2.04,-5.31,9.08
90,-2.09,-5.28,8.95
100,-2.16,-5.22,8.77
110,-2.23,-5.17,8.58
120,-2.3,-5.1,8.32
130,-2.48,-5.09,8.01
140,-2.62,-5.07,7.75
150,-2.71,-4.95,7.5
160,-2.91,-4.85,7.08
170,-3.03,-4.82,6.74
180,-3.2,-4.83,6.27
190,-3.41,-4.61,5.79
200,-3.72,-4.67,5.37
210,-3.92,-4.78,4.94
220,-4.25,-4.77,4.34
230,-4.69,-4.81,3.62
240,-5.06,-4.58,3.09
250,-5.09,-4.21,2.55
260,-5.69,-3.89,2.59
270,-5.36,-3.42,2.88
280,-5.48,-2.89,3.22
290,-5.58,-2.67,3.44
300,-5.36,-2.34,3.63
310,-5.16,-1.92,3.83
320,-5.02,-1.63,3.8
330,-5.03,-1.35,3.85
340,-5.09,-1.28,4.12
350,-5.15,-1.11,4.38
360,-4.98,-0.74,4.71
370,-4.75,-0.26,5.38
380,-4.64,0.42,6.33
390,-4.21,1.31,7.35
400,-4.01,2.09,8.16
410,-3.83,2.52,9.11
420,-3.81,2.63,9.98
430,-3.47,3.08,10.5
440,-2.91,3.39,10.87
450,-2.66,3.34,11.46
460,-2.42,3.34,11.97
470,-1.69,3.77,12.37
480,-1.06,4.65,12.84
490,-0.63,5.33,13.4
500,-0.37,5.92,13.78
510,0.07,6.37,14.03
520,0.47,6.63,14.29
530,0.78,6.9,14.46
540,1.02,7.07,14.83
550,1.11,7.25,15.45
560,0.84,7.15,15.95
570,0.91,7.02,16.75
580,0.78,7.15,16.88
590,0.63,6.97,17.26
600,0.33,6.85,17.57
610,0.03,6.75,17.66
620,-0.13,6.8,17.55
630,-0.28,6.83,17.5
640,-0.51,6.54,17.42
650,-0.6,6.24,17.24
660,-0.75,5.88,17.2
670,-0.91,5.8,17.09
680,-0.97,5.36,17.11
690,-1.19,5.2,17.23
700,-1.33,4.82,17.22
710,-1.23,4.67,17.04
720,-0.72,4.48,16.43
730,-0.73,4.37,15.92
740,-0.32,4.3,15.28
750,-0.39,3.91,14.9
760,-0.6,3.37,14.56
770,-0.41,3.37,13.76
780,-0.32,3.33,12.91
790,-0.57,3.07,12.44
800,-0.61,2.71,11.95
810,-0.78,1.95,10.97
820,-0.73,1.28,10.29
830,-0.87,0.33,9.77
840,-0.89,-0.29,9.1
850,-0.7,-0.6,8.31
860,-0.39,-0.94,7.61
870,-0.51,-1.26,7.41
880,-0.81,-1.87,6.13
890,-1.36,-2.25,6.34
900,-0.46,-2.58,5.58
910,-1.03,-2.99,4.98
920,-0.29,-3.52,4.56
930,-0.28,-4.01,4.24
940,0.09,-4.52,3.67
950,0.31,-4.8,2.77
960,0.41,-5.16,1.85
970,0.45,-5.47,0.97
980,0.5,-5.79,0.35
990,0.37,-5.98,-0.12
1000,0.23,-6.18,-0.19
