timestamp,x,y,z
0,-3.26,-4.34,9.0
10,-3.34,-4.31,9.02
20,-3.42,-4.34,9.02
30,-3.47,-4.34,9.02
40,-3.52,-4.36,9.01
50,-3.57,-4.38,8.96
60,-3.55,-4.39,8.96
70,-3.53,-4.41,8.94
80,-3.49,-4.4,8.96
90,-3.53,-4.4,8.9
100,-3.57,-4.41,8.85
110,-3.6,-4.39,8.76
120,-3.63,-4.39,8.71
130,-3.71,-4.45,8.7
140,-3.81,-4.48,8.69
150,-3.92,-4.49,8.59
160,-4.03,-4.52,8.55
170,-4.11,-4.52,8.48
180,-4.24,-4.49,8.4
190,-4.43,-4.51,8.38
200,-4.62,-4.53,8.36
210,-4.88,-4.52,8.35
220,-5.25,-4.51,8.36
230,-5.73,-4.46,8.36
240,-6.21,-4.41,8.4
250,-6.7,-4.42,8.36
260,-7.04,-4.35,8.26
270,-7.4,-4.3,8.19
280,-7.87,-4.24,8.23
290,-8.45,-4.23,8.24
300,-8.85,-4.21,8.23
310,-9.1,-4.13,8.09
320,-9.22,-4.03,7.87
330,-9.31,-3.89,7.64
340,-9.28,-3.75,7.47
350,-9.1,-3.54,7.34
360,-8.76,-3.36,7.2
370,-8.26,-3.1,7.06
380,-7.75,-2.75,7.01
390,-7.21,-2.48,7.03
400,-6.61,-2.07,7.07
410,-5.93,-1.75,7.07
420,-5.29,-1.53,7.18
430,-4.64,-1.37,7.35
440,-3.96,-1.11,7.54
450,-3.22,-0.9,7.83
460,-2.49,-0.76,8.19
470,-1.83,-0.58,8.53
480,-1.2,-0.38,8.84
490,-0.48,-0.3,9.09
500,0.28,-0.22,9.28
510,1.02,-0.04,9.82
520,1.81,0.15,10.45
530,2.53,0.23,11.27
540,3.31,0.31,11.92
550,4.13,0.54,12.22
560,4.98,0.76,12.51
570,5.78,0.95,12.82
580,6.24,0.98,13.23
590,6.59,1.02,13.62
600,6.94,1.1,13.95
610,7.23,1.16,14.22
620,7.5,1.08,14.34
630,7.61,0.88,14.32
640,7.6,0.74,14.11
650,7.48,0.58,13.82
660,7.3,0.42,13.53
670,7.01,0.23,13.29
680,6.59,0.02,12.91
690,6.22,-0.22,12.58
700,5.75,-0.28,12.0
710,5.38,-0.46,11.42
720,5.09,-0.55,10.86
730,4.75,-0.69,10.45
740,4.36,-0.82,10.12
750,4.02,-0.99,9.78
760,3.72,-1.17,9.36
770,3.49,-1.28,8.93
780,3.21,-1.34,8.56
790,2.82,-1.35,8.37
800,2.4,-1.29,8.15
810,2.03,-1.17,7.92
820,1.6,-0.92,7.86
830,1.09,-0.57,8.07
840,0.54,-0.26,8.37
850,0.09,-0.03,8.52
860,-0.23,0.17,8.43
870,-0.53,0.2,8.3
880,-0.79,0.31,8.18
890,-1.15,0.42,8.08
900,-1.68,0.68,8.13
910,-2.17,1.15,8.46
920,-2.72,1.61,8.88
930,-3.11,1.91,9.02
940,-3.4,2.06,8.88
950,-3.49,2.29,8.71
960,-3.47,2.46,8.39
970,-3.8,2.54,8.02
980,-4.27,2.73,8.09
990,-5.14,3.05,8.45
1000,-6.08,3.43,8.83
